date,amount,category,description
01-11-2024,2500.0,Income,Freelance project payment
02-11-2024,300.0,Expense,Coffee shop
03-11-2024,500.0,Expense,Groceries
04-11-2024,150.0,Expense,Bus fare
05-11-2024,200.0,Expense,Streaming subscription
06-11-2024,450.0,Expense,Lunch with friends
07-11-2024,1000.0,Income,Stock dividends
08-11-2024,300.0,Expense,Mobile recharge
09-11-2024,600.0,Expense,Household items
10-11-2024,10000.0,Income,Salary
11-11-2024,1200.0,Expense,Clothing purchase
12-11-2024,250.0,Expense,Pet food
13-11-2024,800.0,Expense,Electricity bill
14-11-2024,200.0,Expense,Snacks
15-11-2024,1500.0,Expense,Online course purchase
16-11-2024,400.0,Expense,Weekend outing
17-11-2024,200.0,Expense,Parking fee
18-11-2024,300.0,Expense,Groceries
19-11-2024,150.0,Expense,Bookstore purchase
20-11-2024,250.0,Expense,Coffee shop meeting
21-11-2024,1800.0,Income,Freelance project
22-11-2024,700.0,Expense,Fitness club membership
23-11-2024,500.0,Expense,Pharmacy
24-11-2024,300.0,Expense,Dinner with family
25-11-2024,3000.0,Income,Part-time teaching
26-11-2024,400.0,Expense,Laundry
27-11-2024,100.0,Expense,Snacks
28-11-2024,1800.0,Expense,New headphones
29-11-2024,1200.0,Expense,House repair
30-11-2024,700.0,Expense,Fitness club membership
